No,Latitude,Longitude  
1,1.28,103.7683333
2,1.29,103.7533333
3,1.278333333,103.745
4,1.261666667,103.7683333
5,1.233333333,103.7833333
6,1.205,103.81
7,1.195,103.8275
8,1.176666667,103.8388333
9,1.193333333,103.8766667
10,1.233333333,103.9583333
11,1.291666667,104.3333333
12,1.516666667,104.5833333
13,4,105.6333333
14,7.5,108.3
15,16,113.1666667
16,19.16666667,114
17,21.73666667,114.4533333
18,22.08333333,114.4533333
19,22.24166667,114.475
20,22.45,114.45
21,22.55,114.375
22,22.56416667,114.3166667
23,22.55916667,114.2833333
24,22.56333333,114.2716667
25,22.57166667,114.2608333
