No,Latitude,Longitude  
1,22.57166667,114.2608333
2,22.56333333,114.2716667
3,22.55916667,114.2833333
4,22.56416667,114.3166667
5,22.55,114.375
6,22.45,114.45
7,22.35,114.5333333
8,22.21666667,115.1333333
9,22.28333333,116
10,22.6,116.5
11,23.5,117.9266667
12,25,119.75
13,27.5,121.8333333
14,29,122.6666667
15,29.5,122.825
16,30.25,122.825
17,30.66666667,122.95
18,31.11666667,122.7
19,31.11666667,122.55
20,31.11666667,122.425
21,31.10333333,122.3833333
22,31.10333333,122.3583333
23,31.10333333,122.3208333
24,31.11,122.295
25,31.22666667,122.0975
26,31.23333333,122.0833333
27,31.27,121.8616667
28,31.32666667,121.705
29,31.33833333,121.6833333
30,31.355,121.65
31,31.38666667,121.5833333
32,31.385,121.575
33,31.37833333,121.575
