No,Latitude,Longitude  
1,22.55366667,120.3236667
2,22.54666667,120.2628333
3,22.54,120.1866667
4,22.98683333,119.9
5,23.58333333,119.9
6,23.692,119.9333333
7,25.13333333,121
8,25.54166667,121.3333333
9,30.3,123.3333333
10,33.33333333,123.3333333
11,36,122.8833333
12,37.43333333,122.8833333
13,37.695,122.5833333
14,38.12166667,120.2216667
15,38.66166667,118.9633333
16,38.66166667,118.545
17,38.9319,118.1105667
18,38.945,118.0266667
19,38.938,118
20,38.9475,117.9333333
21,38.96785,117.8077833
22,38.98333333,117.7871833
23,38.99803333,117.7850167
