No,Latitude,Longitude  
1,1.358333333,103.5433333
2,1.3275,103.5558333
3,1.308333333,103.556
4,1.245,103.5383333
5,1.116666667,103.5383333
6,1.033333333,103.65
7,1.841666667,103.7266667
8,1.15,103.785
9,1.235,103.9616667
10,1.286666667,104.3333333
11,1.358333333,104.4166667
12,1.358333333,104.6
13,-2,108.4333333
14,-2.125,108.8333333
15,-2.73,109.4466667
16,-4,110
17,-6.816666667,112.75
18,-6.868333333,112.75
19,-6.887333333,112.7366667
20,-6.972,112.7061667
21,-7.010333333,112.6785
22,-7.056166667,112.663
23,-7.093166667,112.6623333
24,-7.124666667,112.6683333
25,-7.153333333,112.6716667
26,-7.166666667,112.6756667
27,-7.1825,112.6856667
28,-7.196666667,112.7071667
