No,Latitude,Longitude  
1,-5.466,105.3068333
2,-5.555,105.3066667
3,-5.794166667,105.4933333
4,-5.955,105.6916667
5,-5.906666667,105.8016667
6,-5,106.3666667
7,-4.4,107.285
8,-3.833333333,107.4533333
9,-3.5,107.4583333
10,-3.066666667,107.3133333
11,-3,107.305
12,-2.178333333,107.0883333
13,-2.055,106.9533333
14,0.95,105
15,1.45,102.4833333
16,1.316666667,104.3333333
17,1.253333333,103.975
18,1.225333333,103.8908333
19,1.219,103.8641667
20,1.21,103.85
21,1.206666667,103.835
22,1.211666667,103.805
23,1.231666667,103.7866667
24,1.258716667,103.77135
25,1.278333333,103.7466667
26,1.281666667,103.7466667
27,1.286666667,103.75
28,1.289,103.7545
29,1.284666667,103.762
