No,Latitude,Longitude  
1,13.06666667,100.892
2,13.06083333,100.8816667
3,13.08666667,100.855
4,13.08666667,100.825
5,13.03333333,100.74
6,12.5,100.74
7,7.8,103.4166667
8,7,103.4166667
9,2.466666667,104.6083333
10,1.483333333,104.5333333
11,1.311666667,104.325
12,1.261666667,104
13,1.226666667,103.9066667
14,1.225333333,103.8908333
15,1.218833333,103.8641667
16,1.21,103.85
17,1.207166667,103.8388333
18,1.21,103.805
19,1.245,103.7733333
20,1.261666667,103.7666667
21,1.278666667,103.7455
22,1.288166667,103.75
23,1.289,103.7566667
24,1.285,103.765
