No,Latitude,Longitude  
1,39.25651667,-76.55233333
2,39.256,-76.55728333
3,39.2527,-76.56136667
4,39.2484,-76.56141667
5,39.20673333,-76.51691667
6,39.20005,-76.5061
7,39.1814,-76.44428333
8,39.17716667,-76.43525
9,39.17063333,-76.42821667
10,39.14163333,-76.40641667
11,39.12336667,-76.3944
12,39.06946667,-76.39431667
13,39.0151,-76.3735
14,38.99383333,-76.38216667
15,38.97231667,-76.391
16,38.93455,-76.38633333
17,38.83333333,-76.4
18,38.75,-76.43333333
19,38.70416667,-76.43055
20,38.66166667,-76.41666667
21,38.55818333,-76.45196667
22,38.455,-76.37666667
23,38.20666667,-76.23666667
24,37.99166667,-76.20666667
25,37.96,-76.20166667
26,37.88,-76.16
27,37.70666667,-76.19166667
28,37.57226667,-76.04925
29,37.56011667,-76.04131667
30,37.54855,-76.03988333
31,37.5234,-76.04173333
32,37.42861667,-76.09511667
33,37.40416667,-76.07918333
34,37.36833333,-76.07666667
35,37.33333333,-76.08666667
36,37.29328333,-76.11325
37,37.19196667,-76.15305
38,37.1859,-76.15453333
39,37.17966667,-76.15428333
40,37.15165,-76.15003333
41,37.14515,-76.14841667
42,37.13935,-76.14498333
43,37.06426667,-76.09166667
44,37.017,-76.04635
45,36.9912,-76.01191667
46,36.9835,-76.00395
47,36.96225,-75.99056667
48,36.945,-75.975
49,36.95166667,-76.02166667
50,37.00916667,-76.24833333
51,37,-76.3
52,36.97,-76.33583333
53,36.915,-76.34
54,36.88,-76.33416667
55,36.87683333,-76.34366667
56,36.87733333,-76.3495
