No,Latitude,Longitude  
1,36.87733333,-76.3495
2,36.87683333,-76.34366667
3,36.88,-76.33416667
4,36.915,-76.34
5,36.97,-76.33583333
6,37,-76.3
7,37.00916667,-76.24833333
8,36.95166667,-76.02166667
9,36.925,-75.95833333
10,36.91166667,-75.92833333
11,36.86333333,-75.87666667
12,36.81,-75.77
13,36.83333333,-75.58333333
14,38,-74.75
15,39,-74.03333333
16,39.75,-73.69166667
17,40.16666667,-73.75
18,40.35,-73.775
19,40.45,-73.8
20,40.47093333,-73.86891667
21,40.52633333,-74.01303333
22,40.53825,-74.02358333
23,40.56641667,-74.03128333
24,40.60621667,-74.04445
25,40.64375,-74.05661667
26,40.64855,-74.06518333
27,40.65141667,-74.07506667
28,40.65151667,-74.08453333
29,40.64745,-74.09321667
30,40.64671667,-74.09763333
31,40.64751667,-74.11006667
32,40.64378333,-74.1213
33,40.64268333,-74.12801667
34,40.64341667,-74.13366667
35,40.64153333,-74.14483333
36,40.64191667,-74.14785
37,40.6437,-74.15005
38,40.6473,-74.15118333
39,40.65148333,-74.1481
40,40.67271667,-74.13465
41,40.68128333,-74.14898333
