No,Latitude,Longitude  
1,40.68128333,-74.14898333
2,40.67271667,-74.13465
3,40.65148333,-74.1481
4,40.6473,-74.15118333
5,40.6437,-74.15005
6,40.64191667,-74.14785
7,40.64153333,-74.14483333
8,40.64341667,-74.13366667
9,40.64268333,-74.12801667
10,40.64378333,-74.1213
11,40.64751667,-74.11006667
12,40.64671667,-74.09763333
13,40.64745,-74.09321667
14,40.65151667,-74.08453333
15,40.65141667,-74.07506667
16,40.64855,-74.06518333
17,40.64375,-74.05661667
18,40.60621667,-74.04445
19,40.56641667,-74.03128333
20,40.53825,-74.02358333
21,40.52633333,-74.01303333
22,40.47093333,-73.86891667
23,40.4523,-73.84466667
24,40.36666667,-73.73333333
25,40.25,-73.605
26,39.7,-73
27,37.825,-70.33333333
28,24,-74.25
29,23,-74.58333333
30,22.08333333,-74.66666667
31,20.36666667,-74.025
32,20.08333333,-74.025
33,18.5,-74.83333333
34,12,-78.48333333
35,10,-79.8
36,9.408333333,-79.89683333
37,9.401666667,-79.89683333
38,9.375833333,-79.89683333
39,9.370333333,-79.894
40,9.372666667,-79.88933333
