No,Latitude,Longitude  
1,32.86941667,-79.95833333
2,32.8975,-79.96216667
3,32.886,-79.96575
4,32.88066667,-79.96666667
5,32.86888333,-79.96353333
6,32.86366667,-79.96
7,32.85833333,-79.95366667
8,32.85066667,-79.93333333
9,32.84441667,-79.92858333
10,32.82508333,-79.92983333
11,32.81875,-79.92616667
12,32.81275,-79.91383333
13,32.79666667,-79.91708333
14,32.78416667,-79.915
15,32.77233333,-79.88833333
16,32.75883333,-79.86666667
17,32.73916667,-79.84558333
18,32.65416667,-79.58333333
19,32.615,-79.58333333
20,32.68333333,-79
21,33.7,-76.5
22,35,-75
23,35.88333333,-75.16666667
24,36.7,-75.58333333
25,36.82,-75.75
26,36.87483333,-75.85833333
27,36.92166667,-75.91833333
28,36.94,-75.955
29,36.9605,-75.9895
30,36.98583333,-76.0055
31,37.01633333,-76.04533333
32,37.05916667,-76.04533333
33,37.14016667,-76.1455
34,37.15083333,-76.1505
35,37.187,-76.15466667
36,37.29283333,-76.1135
37,37.32783333,-76.08666667
38,37.36483333,-76.07783333
39,37.39983333,-76.07716667
40,37.427,-76.08916667
41,37.5,-76.05
42,37.52383333,-76.041
43,37.5485,-76.03966667
44,37.56483333,-76.04166667
45,37.705,-76.18833333
46,37.75,-76.19166667
47,37.87833333,-76.145
48,37.93833333,-76.19166667
49,38,-76.20666667
50,38.08333333,-76.21666667
51,38.205,-76.23666667
52,38.25,-76.26666667
53,38.42833333,-76.35333333
54,38.42833333,-76.42333333
55,38.57333333,-76.43833333
56,38.60666667,-76.425
57,38.66666667,-76.41666667
58,38.7,-76.43333333
59,38.75166667,-76.43333333
60,38.83333333,-76.405
61,38.95333333,-76.385
62,38.98166667,-76.38666667
63,39.01666667,-76.37416667
64,39.01666667,-76.39433333
65,39.12166667,-76.39433333
66,39.12166667,-76.39433333
67,39.14166667,-76.40633333
68,39.17816667,-76.43383333
69,39.20166667,-76.51033333
70,39.20583333,-76.51616667
71,39.23406667,-76.54616667
72,39.23833333,-76.54583333
73,39.24166667,-76.04166667
74,39.245,-76.54
75,39.25166667,-76.5445
76,39.25666667,-76.55166667
