No,Latitude,Longitude  
1,36.875,-76.34916667
2,36.88,-76.33433333
3,36.91666667,-76.34
4,36.97166667,-76.335
5,37,-76.3
6,37.01,-76.25
7,36.945,-76
8,36.95833333,-75.96166667
9,36.91166667,-75.92833333
10,36.865,-75.88
11,36.82166667,-75.79166667
12,36.82166667,-75.66666667
13,37,-75.5
14,38,-74.58333333
15,39.5,-73.71333333
16,40,-73.71
17,40.45833333,-73.79
18,40.45833333,-73.83333333
19,40.48166667,-73.89166667
20,40.525,-74.01066667
21,40.53766667,-74.023
22,40.6,-74.04083333
23,40.6485,-74.06566667
24,40.65183333,-74.0826
25,40.64698333,-74.09588333
26,40.64753333,-74.11103333
27,40.64266667,-74.12666667
28,40.643,-74.134
29,40.6415,-74.14533333
30,40.645,-74.15201667
31,40.6737,-74.13571667
32,40.67986667,-74.14666667
