No,Latitude,Longitude  
1,9.371666667,-79.8855
2,9.368,-79.891
3,9.373666667,-79.897
4,9.408333333,-79.89666667
5,9.433333333,-79.89666667
6,9.433333333,-79.89805
7,9.408333333,-79.91883333
8,9.3,-79.91916667
9,9.266666667,-79.9235
10,9.210666667,-79.92383333
11,9.179,-79.86683333
12,9.185666667,-79.845
13,9.159666667,-79.814
14,9.119833333,-79.80566667
15,9.1125,-79.76883333
16,9.122,-79.75283333
17,9.114666667,-79.703
18,9.107833333,-79.691
19,9.083333333,-79.67733333
20,9.066666667,-79.67083333
21,9.057,-79.65666667
22,9.038833333,-79.64433333
23,9.028333333,-79.6305
24,9.022666667,-79.61933333
25,9.010666667,-79.60633333
26,8.987833333,-79.58333333
27,8.948666667,-79.56916667
28,8.883333333,-79.51666667
