No,Latitude,Longitude  
1,36.8755,-76.34833333
2,36.88,-76.33383333
3,36.91666667,-76.34
4,36.97166667,-76.335
5,36.99916667,-76.3
6,37.00833333,-76.25833333
7,37.00833333,-76.245
8,36.972,-76.1036
9,36.95163333,-76.02338333
10,36.93333333,-75.96666667
11,36.9,-75.91666667
12,36.87,-75.88333333
13,36.80833333,-75.76
14,36.82,-75.58333333
15,36.88333333,-75.33333333
16,39,-74
17,39.75833333,-73.7
18,40.35,-73.77333333
19,40.44666667,-73.80666667
20,40.46333333,-73.83
21,40.47,-73.86833333
22,40.52583333,-74.01183333
23,40.53883333,-74.02333333
24,40.605,-74.045
25,40.645,-74.05833333
26,40.65166667,-74.08183333
27,40.647,-74.09616667
28,40.6475,-74.108
29,40.64383333,-74.1225
30,40.64166667,-74.14716667
31,40.64416667,-74.153
32,40.67333333,-74.13433333
33,40.68,-74.14666667
34,40.68,-74.14866667
