No,Latitude,Longitude  
1,40.68,-74.14866667
2,40.68,-74.14666667
3,40.67333333,-74.13433333
4,40.64416667,-74.153
5,40.64166667,-74.14716667
6,40.64383333,-74.1225
7,40.6475,-74.108
8,40.647,-74.09616667
9,40.65166667,-74.08183333
10,40.645,-74.05833333
11,40.605,-74.045
12,40.53883333,-74.02333333
13,40.52583333,-74.01183333
14,40.47,-73.86833333
15,40.45833333,-73.85
16,40.23333333,-73.6
17,37.39166667,-70.66666667
18,35,-71.25
19,28,-73.56666667
20,24.5,-74.66666667
21,23.73333333,-74.66666667
22,22.11666667,-74.66666667
23,20.3625,-74.01666667
24,20.02916667,-74.01666667
25,17.2,-75.56666667
26,9.708333333,-79.805
27,9.563333333,-79.86333333
28,9.408333333,-79.89666667
29,9.373666667,-79.897
30,9.368,-79.891
31,9.371666667,-79.8855
