No,Latitude,Longitude  
1,8.861666667,-79.47166667
2,8.883333333,-108.8833333
3,8.95,-79.56966667
4,8.988,-79.583
5,9.0235,-79.62016667
6,9.028333333,-79.6305
7,9.038833333,-79.64433333
8,9.057,-79.65666667
9,9.066666667,-79.67083333
10,9.083333333,-79.67733333
11,9.107833333,-79.691
12,9.114,-79.70216667
13,9.122,-79.7535
14,9.1125,-79.76883333
15,9.120166667,-79.80566667
16,9.16,-79.8135
17,9.186166667,-79.846
18,9.179,-79.86683333
19,9.211333333,-79.9235
20,9.266666667,-79.9235
21,9.3,-79.91916667
22,9.433333333,-79.91916667
23,9.433333333,-79.89666667
24,9.408333333,-79.89666667
25,9.373666667,-79.897
26,9.368,-79.891
27,9.371666667,-79.8855
