No,Latitude,Longitude  
1,-6.094666667,106.8843333
2,-6.0805,106.8825
3,-6.063333333,106.8815
4,-6.03,106.8815
5,-5.958333333,106.9083333
6,-5.666666667,106.9583333
7,-5.3,106.975
8,-2.535,106.975
9,1,104.9666667
10,1.283333333,104.6083333
11,1.283333333,104.39
12,1.316666667,104.3333333
13,1.255,103.9733333
14,1.2,103.8583333
15,1.175,103.8
16,1.1405,103.7383333
17,1.183333333,103.6733333
18,1.224666667,103.5316667
19,1.256333333,103.5416667
20,1.301666667,103.5541667
21,1.314166667,103.5566667
22,1.3275,103.5558333
23,1.355,103.545
