No,Latitude,Longitude  
1,-7.176666667,112.6821667
2,-7.16,112.6746667
3,-7.128333333,112.6598333
4,-7.085,112.6566667
5,-7.035,112.6653333
6,-7.004333333,112.68
7,-7.004333333,112.68
8,-6.971666667,112.7073333
9,-6.887,112.7366667
10,-6.87,112.7478333
11,-6.828333333,112.7333333
12,-6.7,112.5
13,-6.283333333,111
14,-5.733333333,108.45
15,-5.733333333,106.975
16,-6.03,106.8816667
17,-6.063333333,106.8816667
18,-6.0805,106.8825
19,-6.089666667,106.8823333
20,-6.094833333,106.8861667
21,-6.0965,106.8918333
22,-6.103166667,106.8918333
