No,Latitude,Longitude  
1,22.32666667,114.12
2,22.3115,114.0898333
3,22.27,114.1066667
4,22.24583333,114.12
5,22.215,114.1616667
6,22.2075,114.1716667
7,22.125,114.225
8,22.125,114.3333333
9,22.05,114.4166667
10,17.16666667,111.1666667
11,2.666666667,108.4
12,1,108.3038333
13,-1.608333333,107.2083333
14,-2.666666667,107.2083333
15,-3.066666667,107.3166667
16,-3.5,107.5166667
17,-5.3,106.975
18,-5.666666667,106.9583333
19,-6.03,106.8816667
20,-6.063333333,106.8816667
21,-6.0805,106.8825
22,-6.089666667,106.8825
23,-6.094833333,106.8861667
24,-6.0965,106.8918333
