No,Latitude,Longitude  
1,-7.195166667,112.703
2,-7.176666667,112.6821667
3,-7.16,112.6746667
4,-7.128333333,112.6598333
5,-7.085,112.6566667
6,-7.035,112.6653333
7,-7.004333333,112.68
8,-6.971666667,112.7073333
9,-6.887,112.7366667
10,-6.87,112.7478333
11,-6.828333333,112.7333333
12,-6.633333333,112.45
13,-6.166666667,111
14,-6.166666667,110.6666667
15,-5.883333333,109
16,-5.733333333,108.45
17,-5.733333333,106.975
18,-6.03,106.8816667
19,-6.063333333,106.8816667
20,-6.0805,106.8825
21,-6.093166667,106.8833333
22,-6.094833333,106.8861667
23,-6.0965,106.8918333
24,-6.103166667,106.8918333
