No,Latitude,Longitude  
1,-7.195166667,112.703
2,-7.176666667,112.6821667
3,-7.16,112.6746667
4,-7.128333333,112.6598333
5,-7.085,112.6566667
6,-7.035,112.6653333
7,-7.004333333,112.68
8,-6.971666667,112.7073333
9,-6.887,112.7366667
10,-6.87,112.7478333
11,-6.856666667,112.75
12,-6.841666667,112.7533333
13,-6.813333333,112.82
14,-6.7,113
15,-5,116
16,-4.266666667,116.85
17,-3.866666667,117.4333333
18,-3,118.4333333
19,1,119.2166667
20,5,119.6166667
21,6,119.8666667
22,10.33333333,120.55
23,11.41666667,120.55
24,12.55,120.405
25,14,119.8333333
26,16,119.5
27,22.525,120.2166667
28,22.54,120.265
29,22.54916667,120.298
30,22.55366667,120.3211667
