No,Latitude,Longitude  
1,35.9995,120.2111667
2,36.01,120.215
3,36.02166667,120.2275
4,36.03333333,120.2583333
5,36.02833333,120.2833333
6,36.01916667,120.3333333
7,35.935,120.7766667
8,35.71666667,120.8833333
9,34.41666667,122.6666667
10,33,123.25
11,30.71666667,123.25
12,30.25833333,123.1333333
13,27.5,122
14,25.5,120.5
15,24.5,119.6166667
16,23.13333333,117.6666667
17,22.24166667,116
18,22.12666667,114.3683333
19,22.13333333,114.25
20,22.15833333,114.2166667
21,22.21,114.175
22,22.218,114.1666667
23,22.25,114.1233333
24,22.295,114.0966667
25,22.315,114.0966667
26,22.32866667,114.1283333
