No,Latitude,Longitude  
1,22.55766667,120.3166667
2,22.55333333,120.32
3,22.54916667,120.3
4,22.54916667,120.3
5,22,120.2666667
6,21.66666667,120.5833333
7,21.66666667,121
8,22.66666667,121.7
9,26,122.5
10,29.85,123.4166667
11,30.83333333,123.2833333
12,31.11333333,122.8666667
13,31.11333333,122.5333333
14,31.10333333,122.5
15,31.10333333,122.4333333
16,31.10333333,122.3166667
17,31.10898333,122.29415
18,31.15001667,122.2250167
19,31.17878333,122.1777833
20,31.22963333,122.0948
21,31.23408333,122.0784167
22,31.26958333,121.8621
23,31.32416667,121.7133
24,31.38301667,121.59355
25,31.37416667,121.5821667
