No,Latitude,Longitude  
1,36.01,120.2083333
2,36.01166667,120.2166667
3,36.02333333,120.23
4,36.03333333,120.2566667
5,36.02166667,120.3166667
6,35.93333333,120.7666667
7,35.7,120.8833333
8,34,123
9,33,123.4333333
10,32,124
11,30.66666667,124
12,28,122.1666667
13,25.25,120.3833333
14,23.61666667,118.225
15,23.38333333,117.7833333
16,22.66666667,117.0166667
17,22.28333333,115.7833333
18,22.12666667,114.3766667
19,22.13333333,114.255
20,22.16033333,114.2148333
21,22.212,114.173
22,22.217,114.1666667
23,22.24916667,114.1253333
24,22.29666667,114.0983333
25,22.30833333,114.0973333
26,22.31633333,114.1016667
27,22.32666667,114.1216667
