No,Latitude,Longitude  
1,3.895,-77.075
2,3.894166667,-77.085
3,3.875,-77.08583333
4,3.866833333,-77.09
5,3.849333333,-77.1135
6,3.825,-77.16833333
7,3.807166667,-77.1985
8,3.800833333,-77.21266667
9,3.798,-77.22333333
10,3.794166667,-77.24016667
11,3.7935,-77.2635
12,3.794166667,-77.288
13,3.794166667,-77.32166667
14,2.916666667,-79
15,1,-80.5
16,-1,-81.41666667
17,-6,-81.66666667
18,-9,-79.48333333
19,-11.5,-78
20,-12.03666667,-77.245
21,-12.04416667,-77.18333333
22,-12.0445,-77.17666667
23,-12.04816667,-77.15333333
24,-12.04516667,-77.14583333
