No,Latitude,Longitude  
1,3.894166667,-77.06833333
2,3.895166667,-77.07
3,3.895,-77.07616667
4,3.893333333,-77.085
5,3.873333333,-77.08666667
6,3.867166667,-77.09
7,3.85,-77.113
8,3.845833333,-77.12083333
9,3.825,-77.16866667
10,3.8065,-77.2
11,3.799333333,-77.218
12,3.794166667,-77.24
13,3.794166667,-77.26166667
14,3.794166667,-77.27883333
15,3.793666667,-77.31633333
16,2.916666667,-79
17,1.481666667,-80.11666667
18,1,-80.5
19,-1,-81.41666667
20,-3.392833333,-81.54166667
21,-6,-81.66666667
22,-9,-79.68333333
23,-11.5,-78
24,12.00833333,-77.28333333
25,-12.03833333,-77.24
26,-12.045,-77.18333333
27,-12.045,-77.17666667
28,-12.048,-77.155
29,-12.05,-77.15
30,-12.54,-77.14833333
