No,Latitude,Longitude  
1,22.32833333,114.1266667
2,22.315,114.0966667
3,22.3,114.0966667
4,22.27166667,114.1066667
5,22.24666667,114.12
6,22.20833333,114.1716667
7,22.125,114.2216667
8,22.125,115.5
9,22.21666667,115.805
10,23.20833333,117.5416667
11,23.39166667,117.75
12,24,119
13,25,120.2516667
14,28.46666667,122.59
15,29.625,122.5
16,29.73833333,122.3333333
17,29.75833333,122.3066667
18,29.81,122.2383333
19,29.83666667,122.2133333
20,29.925,122.1633333
21,29.925,122.1333333
22,29.89333333,122.0366667
